Word IPA ARPAbet Pronunciation
bíi /baɪɪ/ B|AY|IH biyih
bío /baɪɒ/ B|AY|AA biyo
bíu /baɪʌ/ B|AY|AH biyuh
bíá /baɪeɪ/ B|AY|EY biyay
bíé /baɪiː/ B|AY|IY biyee
bíó /baɪoʊ/ B|AY|OW biyoh
bíú /baɪuː/ B|AY|UW biyoo
bíä /baɪɔː/ B|AY|AO biyaw
bíë /baɪɜː/ B|AY|ER biyer
bíü /baɪaʊ/ B|AY|AW biyow
bíâ /baɪɑː/ B|AY|AA biyah
bíû /baɪʊ/ B|AY|UH biyuu
bóa /boʊæ/ B|OW|AE bohaa
bóe /boʊɛ/ B|OW|EH boheh
bói /boʊɪ/ B|OW|IH bohih
bóo /boʊɒ/ B|OW|AA boho
bóu /boʊʌ/ B|OW|AH bohuh
bóá /boʊeɪ/ B|OW|EY bohay
bóé /boʊiː/ B|OW|IY bohee
bóí /boʊaɪ/ B|OW|AY bohiy
bóó /boʊoʊ/ B|OW|OW bohoh
bóú /boʊuː/ B|OW|UW bohoo
bóä /boʊɔː/ B|OW|AO bohaw
bóë /boʊɜː/ B|OW|ER boher
bóö /boʊɔɪ/ B|OW|OY bohoi
bóü /boʊaʊ/ B|OW|AW bohow
bóâ /boʊɑː/ B|OW|AA bohah
bóû /boʊʊ/ B|OW|UH bohuu
búa /buːæ/ B|UW|AE booaa
búe /buːɛ/ B|UW|EH booeh
búi /buːɪ/ B|UW|IH booih
búu /buːʌ/ B|UW|AH boouh
búá /buːeɪ/ B|UW|EY booay
búé /buːiː/ B|UW|IY booee
búí /buːaɪ/ B|AW|AY booiy
búó /buːoʊ/ B|UW|OW boooh
búä /buːɔː/ B|UW|AO booaw
búë /buːɜː/ B|UW|ER booer
búö /buːɔɪ/ B|UW|OY boooi
búü /buːaʊ/ B|UW|AW booow
búâ /buːɑː/ B|UW|AA booah
búû /buːʊ/ B|UW|UH boouu
bäa /bɔːæ/ B|AO|AE bawaa
bäe /bɔːɛ/ B|AO|EH baweh
bäi /bɔːɪ/ B|AO|IH bawih
bäo /bɔːɒ/ B|AO|AA bawo
bäu /bɔːʌ/ B|AO|AH bawuh
bäá /bɔːeɪ/ B|AO|EY baway
bäé /bɔːiː/ B|AO|IY bawee
bäí /bɔːaɪ/ B|AO|AY bawiy
bäó /bɔːoʊ/ B|AO|OW bawoh
bäú /bɔːuː/ B|AO|UW bawoo
bäë /bɔːɜː/ B|AO|ER bawer
bäö /bɔːɔɪ/ B|AO|OY bawoi
bäâ /bɔːɑː/ B|AO|AA bawah
bäû /bɔːʊ/ B|AO|UH bawuu
bëa /bɜːæ/ B|ER|AE beraa
bëe /bɜːɛ/ B|ER|EH bereh
bëi /bɜːɪ/ B|ER|IH berih
bëo /bɜːɒ/ B|ER|AA bero
bëu /bɜːʌ/ B|ER|AH beruh
bëá /bɜːeɪ/ B|ER|EY beray
bëé /bɜːiː/ B|ER|IY beree
bëó /bɜːoʊ/ B|ER|OW beroh
bëâ /bɜːɑː/ B|ER|AA berah
bëä /bɜːɔː/ B|ER|AO beraw
bëë /bɜːɜː/ B|ER|ER berer
bëö /bɜːɔɪ/ B|ER|OY beroi
bëü /bɜːaʊ/ B|ER|AW berow
böa /bɔɪæ/ B|OY|AE boiaa
böë /bɔɪɜː/ B|OY|ER boier
büi /baʊɪ/ B|AW|IH bowih
büá /baʊeɪ/ B|AW|EY boway
büé /baʊiː/ B|AW|IY bowee
büë /baʊɜː/ B|AW|ER bower
büâ /baʊɑː/ B|AW|AA bowah
bâé /bɑːiː/ B|AA|IY bahee
bâí /bɑːaɪ/ B|AA|AY bahiy
bâö /bɑːɔɪ/ B|AA|OY bahoi
bâû /bɑːʊ/ B|AA|UH bahuu
bûa /bʊæ/ B|UH|AE buuaa
bûi /bʊɪ/ B|UH|IH buuih
bûo /bʊɒ/ B|UH|AA buuo
ca /kæ/ K|AE kaa
ce /kɛ/ K|EH keh
ci /kɪ/ K|IH kih
co /kɒ/ K|AA ko
cu /kʌ/ K|AH kuh
cá /keɪ/ K|EY kay
cé /kiː/ K|IY kee
cí /kaɪ/ K|AY kiy
có /koʊ/ K|OW koh
cú /kuː/ K|UW koo
cä /kɔː/ K|AO kaw
cë /kɜː/ K|ER ker
cï /kj/ K|Y ky
cö /kɔɪ/ K|OY koi
cü /kaʊ/ K|AW kow
câ /kɑː/ K|AA kah
cû /kʊ/ K|UH kuu
ceé /kɛiː/ K|EH|IY kehee
ceâ /kɛɑː/ K|EH|AA kehah
ceû /kɛʊ/ K|EH|UH kehuu
cou /kɒʌ/ K|AA|AH kouh
coë /kɒɜː/ K|AA|ER koer
cue /kʌɛ/ K|AH|EH kuheh
cui /kʌɪ/ K|AH|IH kuhih
cuo /kʌɒ/ K|AH|AA kuho
cuu /kʌʌ/ K|AH|AH kuhuh
cuá /kʌeɪ/ K|AH|EY kuhay
cué /kʌiː/ K|AH|IY kuhee
cuí /kʌaɪ/ K|AH|AY kuhiy
cuó /kʌoʊ/ K|AH|OW kuhoh
cuú /kʌuː/ K|AH|UW kuhoo
cuä /kʌɔː/ K|AH|AO kuhaw
cuö /kʌɔɪ/ K|AH|OY kuhoi
cuâ /kʌɑː/ K|AH|AA kuhah
cuû /kʌʊ/ K|AH|UH kuhuu
cáa /keɪæ/ K|EY|AE kayaa
cáe /keɪɛ/ K|EY|EH kayeh
cái /keɪɪ/ K|EY|IH kayih
cáo /keɪɒ/ K|EY|AA kayo
cáu /keɪʌ/ K|EY|AH kayuh
cáá /keɪeɪ/ K|EY|EY kayay
cáé /keɪiː/ K|EY|IY kayee
cáí /keɪaɪ/ K|EY|AY kayiy
cáó /keɪoʊ/ K|EY|OW kayoh
cáú /keɪuː/ K|EY|UW kayoo
cáä /keɪɔː/ K|EY|AO kayaw
cáë /keɪɜː/ K|EY|ER kayer
cáö /keɪɔɪ/ K|EY|OY kayoi
cáü /keɪaʊ/ K|EY|AW kayow
cáâ /keɪɑː/ K|EY|AA kayah
cáû /keɪʊ/ K|EY|UH kayuu
céa /kiːæ/ K|IY|AE keeaa
cée /kiːɛ/ K|IY|EH keeeh
céi /kiːɪ/ K|IY|IH keeih
céo /kiːɒ/ K|IY|AA keeo
céu /kiːʌ/ K|IY|AH keeuh
céá /kiːeɪ/ K|IY|EY keeay
céí /kiːaɪ/ K|IY|AY keeiy
céó /kiːoʊ/ K|IY|OW keeoh
céú /kiːuː/ K|IY|UW keeoo
céä /kiːɔː/ K|IY|AO keeaw
céë /kiːɜː/ K|IY|ER keeer
céö /kiːɔɪ/ K|IY|OY keeoi
céü /kiːaʊ/ K|IY|AW keeow
céâ /kiːɑː/ K|IY|AA keeah
céû /kiːʊ/ K|IY|UH keeuu
cía /kaɪæ/ K|AY|AE kiyaa
cíe /kaɪɛ/ K|AY|EH kiyeh
cíi /kaɪɪ/ K|AY|IH kiyih
cío /kaɪɒ/ K|AY|AA kiyo
cíu /kaɪʌ/ K|AY|AH kiyuh
cíá /kaɪeɪ/ K|AY|EY kiyay
cíé /kaɪiː/ K|AY|IY kiyee
cíó /kaɪoʊ/ K|AY|OW kiyoh
cíú /kaɪuː/ K|AY|UW kiyoo
cíä /kaɪɔː/ K|AY|AO kiyaw
cíë /kaɪɜː/ K|AY|ER kiyer
cíü /kaɪaʊ/ K|AY|AW kiyow
cíâ /kaɪɑː/ K|AY|AA kiyah
cíû /kaɪʊ/ K|AY|UH kiyuu
cóa /koʊæ/ K|OW|AE kohaa
cóe /koʊɛ/ K|OW|EH koheh
cói /koʊɪ/ K|OW|IH kohih
cóo /koʊɒ/ K|OW|AA koho
cóu /koʊʌ/ K|OW|AH kohuh
cóá /koʊeɪ/ K|OW|EY kohay
cóé /koʊiː/ K|OW|IY kohee
cóí /koʊaɪ/ K|OW|AY kohiy
cóó /koʊoʊ/ K|OW|OW kohoh
cóú /koʊuː/ K|OW|UW kohoo
cóä /koʊɔː/ K|OW|AO kohaw
cóë /koʊɜː/ K|OW|ER koher
cóö /koʊɔɪ/ K|OW|OY kohoi
cóü /koʊaʊ/ K|OW|AW kohow
cóâ /koʊɑː/ K|OW|AA kohah
cóû /koʊʊ/ K|OW|UH kohuu
cúa /kuːæ/ K|UW|AE kooaa
cúe /kuːɛ/ K|UW|EH kooeh
cúi /kuːɪ/ K|UW|IH kooih
cúu /kuːʌ/ K|UW|AH koouh
cúá /kuːeɪ/ K|UW|EY kooay
cúé /kuːiː/ K|UW|IY kooee
cúí /kuːaɪ/ K|AW|AY kooiy
cúó /kuːoʊ/ K|UW|OW koooh
cúä /kuːɔː/ K|UW|AO kooaw
cúë /kuːɜː/ K|UW|ER kooer
cúö /kuːɔɪ/ K|UW|OY koooi
cúü /kuːaʊ/ K|UW|AW kooow
cúâ /kuːɑː/ K|UW|AA kooah
cúû /kuːʊ/ K|UW|UH koouu
cäa /kɔːæ/ K|AO|AE kawaa
cäe /kɔːɛ/ K|AO|EH kaweh
cäi /kɔːɪ/ K|AO|IH kawih
cäo /kɔːɒ/ K|AO|AA kawo
cäu /kɔːʌ/ K|AO|AH kawuh
cäá /kɔːeɪ/ K|AO|EY kaway
cäé /kɔːiː/ K|AO|IY kawee
cäí /kɔːaɪ/ K|AO|AY kawiy
cäó /kɔːoʊ/ K|AO|OW kawoh
cäú /kɔːuː/ K|AO|UW kawoo
cäë /kɔːɜː/ K|AO|ER kawer
cäö /kɔːɔɪ/ K|AO|OY kawoi
cäâ /kɔːɑː/ K|AO|AA kawah
cäû /kɔːʊ/ K|AO|UH kawuu
cëa /kɜːæ/ K|ER|AE keraa
cëe /kɜːɛ/ K|ER|EH kereh
cëi /kɜːɪ/ K|ER|IH kerih
cëo /kɜːɒ/ K|ER|AA kero
cëu /kɜːʌ/ K|ER|AH keruh
cëá /kɜːeɪ/ K|ER|EY keray
cëé /kɜːiː/ K|ER|IY keree
cëó /kɜːoʊ/ K|ER|OW keroh
cëâ /kɜːɑː/ K|ER|AA kerah
cëä /kɜːɔː/ K|ER|AO keraw
cëë /kɜːɜː/ K|ER|ER kerer
cëö /kɜːɔɪ/ K|ER|OY keroi
cëü /kɜːaʊ/ K|ER|AW kerow
cöa /kɔɪæ/ K|OY|AE koiaa
cöë /kɔɪɜː/ K|OY|ER koier
cüi /kaʊɪ/ K|AW|IH kowih
cüá /kaʊeɪ/ K|AW|EY koway
cüé /kaʊiː/ K|AW|IY kowee
cüë /kaʊɜː/ K|AW|ER kower
cüâ /kaʊɑː/ K|AW|AA kowah
câé /kɑːiː/ K|AA|IY kahee
câí /kɑːaɪ/ K|AA|AY kahiy
câö /kɑːɔɪ/ K|AA|OY kahoi
câû /kɑːʊ/ K|AA|UH kahuu
cûa /kʊæ/ K|UH|AE kuuaa
cûi /kʊɪ/ K|UH|IH kuuih
cûo /kʊɒ/ K|UH|AA kuuo
da /dæ/ D|AE daa
de /dɛ/ D|EH deh
di /dɪ/ D|IH dih
do /dɒ/ D|AA do
du /dʌ/ D|AH duh
dá /deɪ/ D|EY day
dé /diː/ D|IY dee
dí /daɪ/ D|AY diy
dó /doʊ/ D|OW doh
dú /duː/ D|UW doo
dä /dɔː/ D|AO daw
dë /dɜː/ D|ER der
dï /dj/ D|Y dy
dö /dɔɪ/ D|OY doi
dü /daʊ/ D|AW dow
dâ /dɑː/ D|AA dah
dû /dʊ/ D|UH duu
deé /dɛiː/ D|EH|IY dehee
deâ /dɛɑː/ D|EH|AA dehah
deû /dɛʊ/ D|EH|UH dehuu
dou /dɒʌ/ D|AA|AH douh
doë /dɒɜː/ D|AA|ER doer
due /dʌɛ/ D|AH|EH duheh
dui /dʌɪ/ D|AH|IH duhih
duo /dʌɒ/ D|AH|AA duho
duu /dʌʌ/ D|AH|AH duhuh
duá /dʌeɪ/ D|AH|EY duhay
dué /dʌiː/ D|AH|IY duhee
duí /dʌaɪ/ D|AH|AY duhiy
duó /dʌoʊ/ D|AH|OW duhoh
duú /dʌuː/ D|AH|UW duhoo
duä /dʌɔː/ D|AH|AO duhaw
duö /dʌɔɪ/ D|AH|OY duhoi
duâ /dʌɑː/ D|AH|AA duhah
duû /dʌʊ/ D|AH|UH duhuu
dáa /deɪæ/ D|EY|AE dayaa
dáe /deɪɛ/ D|EY|EH dayeh
dái /deɪɪ/ D|EY|IH dayih
dáo /deɪɒ/ D|EY|AA dayo
dáu /deɪʌ/ D|EY|AH dayuh
dáá /deɪeɪ/ D|EY|EY dayay
dáé /deɪiː/ D|EY|IY dayee
dáí /deɪaɪ/ D|EY|AY dayiy
dáó /deɪoʊ/ D|EY|OW dayoh
dáú /deɪuː/ D|EY|UW dayoo
dáä /deɪɔː/ D|EY|AO dayaw
dáë /deɪɜː/ D|EY|ER dayer
dáö /deɪɔɪ/ D|EY|OY dayoi
dáü /deɪaʊ/ D|EY|AW dayow
dáâ /deɪɑː/ D|EY|AA dayah
dáû /deɪʊ/ D|EY|UH dayuu
déa /diːæ/ D|IY|AE deeaa
dée /diːɛ/ D|IY|EH deeeh
déi /diːɪ/ D|IY|IH deeih
déo /diːɒ/ D|IY|AA deeo
déu /diːʌ/ D|IY|AH deeuh
déá /diːeɪ/ D|IY|EY deeay
déí /diːaɪ/ D|IY|AY deeiy
déó /diːoʊ/ D|IY|OW deeoh
déú /diːuː/ D|IY|UW deeoo
déä /diːɔː/ D|IY|AO deeaw
déë /diːɜː/ D|IY|ER deeer
déö /diːɔɪ/ D|IY|OY deeoi
déü /diːaʊ/ D|IY|AW deeow
déâ /diːɑː/ D|IY|AA deeah
déû /diːʊ/ D|IY|UH deeuu
día /daɪæ/ D|AY|AE diyaa
díe /daɪɛ/ D|AY|EH diyeh
díi /daɪɪ/ D|AY|IH diyih
dío /daɪɒ/ D|AY|AA diyo
díu /daɪʌ/ D|AY|AH diyuh
díá /daɪeɪ/ D|AY|EY diyay
díé /daɪiː/ D|AY|IY diyee
díó /daɪoʊ/ D|AY|OW diyoh
díú /daɪuː/ D|AY|UW diyoo
díä /daɪɔː/ D|AY|AO diyaw
díë /daɪɜː/ D|AY|ER diyer
díü /daɪaʊ/ D|AY|AW diyow
díâ /daɪɑː/ D|AY|AA diyah
díû /daɪʊ/ D|AY|UH diyuu
dóa /doʊæ/ D|OW|AE dohaa
dóe /doʊɛ/ D|OW|EH doheh
dói /doʊɪ/ D|OW|IH dohih
dóo /doʊɒ/ D|OW|AA doho
dóu /doʊʌ/ D|OW|AH dohuh
dóá /doʊeɪ/ D|OW|EY dohay
dóé /doʊiː/ D|OW|IY dohee
dóí /doʊaɪ/ D|OW|AY dohiy
dóó /doʊoʊ/ D|OW|OW dohoh
dóú /doʊuː/ D|OW|UW dohoo
dóä /doʊɔː/ D|OW|AO dohaw
dóë /doʊɜː/ D|OW|ER doher
dóö /doʊɔɪ/ D|OW|OY dohoi
dóü /doʊaʊ/ D|OW|AW dohow
dóâ /doʊɑː/ D|OW|AA dohah
dóû /doʊʊ/ D|OW|UH dohuu
dúa /duːæ/ D|UW|AE dooaa
dúe /duːɛ/ D|UW|EH dooeh
dúi /duːɪ/ D|UW|IH dooih
dúu /duːʌ/ D|UW|AH doouh
dúá /duːeɪ/ D|UW|EY dooay
dúé /duːiː/ D|UW|IY dooee
dúí /duːaɪ/ D|AW|AY dooiy
dúó /duːoʊ/ D|UW|OW doooh
dúä /duːɔː/ D|UW|AO dooaw
dúë /duːɜː/ D|UW|ER dooer
dúö /duːɔɪ/ D|UW|OY doooi
dúü /duːaʊ/ D|UW|AW dooow
dúâ /duːɑː/ D|UW|AA dooah
dúû /duːʊ/ D|UW|UH doouu
däa /dɔːæ/ D|AO|AE dawaa
däe /dɔːɛ/ D|AO|EH daweh
däi /dɔːɪ/ D|AO|IH dawih
däo /dɔːɒ/ D|AO|AA dawo
däu /dɔːʌ/ D|AO|AH dawuh
däá /dɔːeɪ/ D|AO|EY daway
däé /dɔːiː/ D|AO|IY dawee
däí /dɔːaɪ/ D|AO|AY dawiy
däó /dɔːoʊ/ D|AO|OW dawoh
däú /dɔːuː/ D|AO|UW dawoo
däë /dɔːɜː/ D|AO|ER dawer
däö /dɔːɔɪ/ D|AO|OY dawoi
däâ /dɔːɑː/ D|AO|AA dawah
däû /dɔːʊ/ D|AO|UH dawuu
dëa /dɜːæ/ D|ER|AE deraa
dëe /dɜːɛ/ D|ER|EH dereh
dëi /dɜːɪ/ D|ER|IH derih
dëo /dɜːɒ/ D|ER|AA dero
dëu /dɜːʌ/ D|ER|AH deruh
dëá /dɜːeɪ/ D|ER|EY deray
dëé /dɜːiː/ D|ER|IY deree
dëó /dɜːoʊ/ D|ER|OW deroh
dëâ /dɜːɑː/ D|ER|AA derah
dëä /dɜːɔː/ D|ER|AO deraw
dëë /dɜːɜː/ D|ER|ER derer
dëö /dɜːɔɪ/ D|ER|OY deroi
dëü /dɜːaʊ/ D|ER|AW derow
döa /dɔɪæ/ D|OY|AE doiaa
döë /dɔɪɜː/ D|OY|ER doier
düi /daʊɪ/ D|AW|IH dowih
düá /daʊeɪ/ D|AW|EY doway
düé /daʊiː/ D|AW|IY dowee
düë /daʊɜː/ D|AW|ER dower
düâ /daʊɑː/ D|AW|AA dowah
dâé /dɑːiː/ D|AA|IY dahee
dâí /dɑːaɪ/ D|AA|AY dahiy
dâö /dɑːɔɪ/ D|AA|OY dahoi
dâû /dɑːʊ/ D|AA|UH dahuu
dûa /dʊæ/ D|UH|AE duuaa
dûi /dʊɪ/ D|UH|IH duuih
dûo /dʊɒ/ D|UH|AA duuo
fa /fæ/ F|AE faa
fe /fɛ/ F|EH feh
fi /fɪ/ F|IH fih
fo /fɒ/ F|AA fo
fu /fʌ/ F|AH fuh
fá /feɪ/ F|EY fay
fé /fiː/ F|IY fee
fí /faɪ/ F|AY fiy
fó /foʊ/ F|OW foh
fú /fuː/ F|UW foo
fä /fɔː/ F|AO faw
fë /fɜː/ F|ER fer
fï /fj/ F|Y fy
fö /fɔɪ/ F|OY foi
fü /faʊ/ F|AW fow
fâ /fɑː/ F|AA fah
fû /fʊ/ F|UH fuu
feé /fɛiː/ F|EH|IY fehee
feâ /fɛɑː/ F|EH|AA fehah
feû /fɛʊ/ F|EH|UH fehuu
fou /fɒʌ/ F|AA|AH fouh
foë /fɒɜː/ F|AA|ER foer
fue /fʌɛ/ F|AH|EH fuheh
fui /fʌɪ/ F|AH|IH fuhih
fuo /fʌɒ/ F|AH|AA fuho
fuu /fʌʌ/ F|AH|AH fuhuh
fuá /fʌeɪ/ F|AH|EY fuhay
fué /fʌiː/ F|AH|IY fuhee
fuí /fʌaɪ/ F|AH|AY fuhiy
fuó /fʌoʊ/ F|AH|OW fuhoh
fuú /fʌuː/ F|AH|UW fuhoo
fuä /fʌɔː/ F|AH|AO fuhaw
fuö /fʌɔɪ/ F|AH|OY fuhoi
fuâ /fʌɑː/ F|AH|AA fuhah
fuû /fʌʊ/ F|AH|UH fuhuu
fáa /feɪæ/ F|EY|AE fayaa
fáe /feɪɛ/ F|EY|EH fayeh
fái /feɪɪ/ F|EY|IH fayih
fáo /feɪɒ/ F|EY|AA fayo
fáu /feɪʌ/ F|EY|AH fayuh
fáá /feɪeɪ/ F|EY|EY fayay
fáé /feɪiː/ F|EY|IY fayee
fáí /feɪaɪ/ F|EY|AY fayiy
fáó /feɪoʊ/ F|EY|OW fayoh
fáú /feɪuː/ F|EY|UW fayoo
fáä /feɪɔː/ F|EY|AO fayaw
fáë /feɪɜː/ F|EY|ER fayer
fáö /feɪɔɪ/ F|EY|OY fayoi
fáü /feɪaʊ/ F|EY|AW fayow
fáâ /feɪɑː/ F|EY|AA fayah
fáû /feɪʊ/ F|EY|UH fayuu
féa /fiːæ/ F|IY|AE feeaa
fée /fiːɛ/ F|IY|EH feeeh
féi /fiːɪ/ F|IY|IH feeih
féo /fiːɒ/ F|IY|AA feeo
féu /fiːʌ/ F|IY|AH feeuh
féá /fiːeɪ/ F|IY|EY feeay
féí /fiːaɪ/ F|IY|AY feeiy
féó /fiːoʊ/ F|IY|OW feeoh
féú /fiːuː/ F|IY|UW feeoo
féä /fiːɔː/ F|IY|AO feeaw
féë /fiːɜː/ F|IY|ER feeer
féö /fiːɔɪ/ F|IY|OY feeoi
féü /fiːaʊ/ F|IY|AW feeow
féâ /fiːɑː/ F|IY|AA feeah
féû /fiːʊ/ F|IY|UH feeuu
fía /faɪæ/ F|AY|AE fiyaa
fíe /faɪɛ/ F|AY|EH fiyeh
fíi /faɪɪ/ F|AY|IH fiyih
fío /faɪɒ/ F|AY|AA fiyo
fíu /faɪʌ/ F|AY|AH fiyuh
fíá /faɪeɪ/ F|AY|EY fiyay
fíé /faɪiː/ F|AY|IY fiyee
fíó /faɪoʊ/ F|AY|OW fiyoh
fíú /faɪuː/ F|AY|UW fiyoo
fíä /faɪɔː/ F|AY|AO fiyaw
fíë /faɪɜː/ F|AY|ER fiyer
fíü /faɪaʊ/ F|AY|AW fiyow
fíâ /faɪɑː/ F|AY|AA fiyah
fíû /faɪʊ/ F|AY|UH fiyuu
fóa /foʊæ/ F|OW|AE fohaa
fóe /foʊɛ/ F|OW|EH foheh
fói /foʊɪ/ F|OW|IH fohih
fóo /foʊɒ/ F|OW|AA foho
fóu /foʊʌ/ F|OW|AH fohuh
fóá /foʊeɪ/ F|OW|EY fohay
fóé /foʊiː/ F|OW|IY fohee
fóí /foʊaɪ/ F|OW|AY fohiy
fóó /foʊoʊ/ F|OW|OW fohoh
fóú /foʊuː/ F|OW|UW fohoo
fóä /foʊɔː/ F|OW|AO fohaw
fóë /foʊɜː/ F|OW|ER foher
fóö /foʊɔɪ/ F|OW|OY fohoi
fóü /foʊaʊ/ F|OW|AW fohow
fóâ /foʊɑː/ F|OW|AA fohah
fóû /foʊʊ/ F|OW|UH fohuu
fúa /fuːæ/ F|UW|AE fooaa
fúe /fuːɛ/ F|UW|EH fooeh
fúi /fuːɪ/ F|UW|IH fooih
fúu /fuːʌ/ F|UW|AH foouh
fúá /fuːeɪ/ F|UW|EY fooay
fúé /fuːiː/ F|UW|IY fooee
fúí /fuːaɪ/ F|AW|AY fooiy
fúó /fuːoʊ/ F|UW|OW foooh
fúä /fuːɔː/ F|UW|AO fooaw
fúë /fuːɜː/ F|UW|ER fooer
fúö /fuːɔɪ/ F|UW|OY foooi
fúü /fuːaʊ/ F|UW|AW fooow
fúâ /fuːɑː/ F|UW|AA fooah
fúû /fuːʊ/ F|UW|UH foouu
fäa /fɔːæ/ F|AO|AE fawaa
fäe /fɔːɛ/ F|AO|EH faweh
fäi /fɔːɪ/ F|AO|IH fawih
fäo /fɔːɒ/ F|AO|AA fawo
fäu /fɔːʌ/ F|AO|AH fawuh
fäá /fɔːeɪ/ F|AO|EY faway
fäé /fɔːiː/ F|AO|IY fawee
fäí /fɔːaɪ/ F|AO|AY fawiy
fäó /fɔːoʊ/ F|AO|OW fawoh
fäú /fɔːuː/ F|AO|UW fawoo
fäë /fɔːɜː/ F|AO|ER fawer
fäö /fɔːɔɪ/ F|AO|OY fawoi
fäâ /fɔːɑː/ F|AO|AA fawah
fäû /fɔːʊ/ F|AO|UH fawuu
fëa /fɜːæ/ F|ER|AE feraa
fëe /fɜːɛ/ F|ER|EH fereh
fëi /fɜːɪ/ F|ER|IH ferih
fëo /fɜːɒ/ F|ER|AA fero
fëu /fɜːʌ/ F|ER|AH feruh
fëá /fɜːeɪ/ F|ER|EY feray
fëé /fɜːiː/ F|ER|IY feree
fëó /fɜːoʊ/ F|ER|OW feroh
fëâ /fɜːɑː/ F|ER|AA ferah
fëä /fɜːɔː/ F|ER|AO feraw
fëë /fɜːɜː/ F|ER|ER ferer
fëö /fɜːɔɪ/ F|ER|OY feroi
fëü /fɜːaʊ/ F|ER|AW ferow
föa /fɔɪæ/ F|OY|AE foiaa
föë /fɔɪɜː/ F|OY|ER foier
füi /faʊɪ/ F|AW|IH fowih
füá /faʊeɪ/ F|AW|EY foway
füé /faʊiː/ F|AW|IY fowee
füë /faʊɜː/ F|AW|ER fower
füâ /faʊɑː/ F|AW|AA fowah
fâé /fɑːiː/ F|AA|IY fahee
fâí /fɑːaɪ/ F|AA|AY fahiy
fâö /fɑːɔɪ/ F|AA|OY fahoi
fâû /fɑːʊ/ F|AA|UH fahuu
fûa /fʊæ/ F|UH|AE fuuaa
fûi /fʊɪ/ F|UH|IH fuuih
fûo /fʊɒ/ F|UH|AA fuuo
ga /gæ/ G|AE gaa
ge /gɛ/ G|EH geh
gi /gɪ/ G|IH gih
go /gɒ/ G|AA go
gu /gʌ/ G|AH guh
gá /geɪ/ G|EY gay
gé /giː/ G|IY gee
gí /gaɪ/ G|AY giy
gó /goʊ/ G|OW goh
gú /guː/ G|UW goo
gä /gɔː/ G|AO gaw
gë /gɜː/ G|ER ger
gï /gj/ G|Y gy
gö /gɔɪ/ G|OY goi
gü /gaʊ/ G|AW gow
gâ /gɑː/ G|AA gah
gû /gʊ/ G|UH guu
geé /gɛiː/ G|EH|IY gehee
geâ /gɛɑː/ G|EH|AA gehah
